,TWL,Score,Len,Rd,Sp,Vw,Ob,IsEnd
41,ʌv,2.070424811894682,1,7,0,4,0,1
42,ʍɪtʃ,2.1985657688331686,1,4,0,11,0,1
43,ə,2.3143805781373294,2,12,0,12,0,0
44,ˈmaʊntz,2.3143805781373294,2,12,0,7,0,1
45,tu,2.2877459545562724,1,1,0,1,0,1
46,mʌtʃ,2.2601913763979438,1,4,0,4,0,1
47,ʌv,2.070424811894682,1,7,0,4,0,1
48,eɪ,2.1691662930373004,1,11,0,10,0,1
49,ˈstɔ,2.1972341707252796,2,4,0,4,0,0
50,ɹi,2.1972341707252796,2,11,0,11,0,1
51,.,2.88364434687157,1,-1,-1,-1,0,2
52,ðɪs,5.2105263157894735,1,14,0,11,0,1
53,ˈkwaɪ,4.808222883418988,2,11,0,7,0,0
54,ɪt,4.808222883418988,2,1,0,11,0,1
55,",",7.864791779340183,1,-1,-1,-1,0,1
56,ˌɪn,4.098783694937541,4,9,0,11,0,0
57,tɹə,4.098783694937541,4,12,0,12,0,0
58,ˈspɛk,4.098783694937541,4,3,0,8,0,0
59,tɪv,4.098783694937541,4,7,0,11,0,1
60,ænd,4.098783694937541,1,5,0,7,0,1
61,ˌɛn,5.2935686751876645,4,6,0,8,0,0
62,tɚ,5.2935686751876645,4,2,0,0,0,0
63,ˈteɪ,5.2935686751876645,4,11,0,10,0,0
64,nɪŋ,5.2935686751876645,4,13,0,11,0,1
65,ˌɪn,5.066460587326121,4,9,0,11,0,0
66,dɪ,5.066460587326121,4,11,0,11,0,0
67,ˈpɛn,5.066460587326121,4,6,0,8,0,0
68,dənt,5.066460587326121,4,1,0,12,0,1
69,ɪz,6.032258064516128,1,12,0,11,0,1
70,wɝθ,4.177700348432055,1,1,0,0,0,1
71,sik,4.828054298642533,2,3,0,11,0,0
72,iŋ,4.828054298642533,2,13,0,11,0,1
73,.,13.933333333333332,1,-1,-1,-1,0,2
74,ˈi,2.5352112676056335,2,11,0,11,0,0
75,vən,2.5352112676056335,2,10,0,12,0,1
76,fænz,3.1267605633802815,1,12,0,7,0,1
77,ʌv,4.317073170731707,1,7,0,4,0,1
78,ɪsm,2.4583835946924006,2,3,0,11,0,0
79,ɑɪl,2.4583835946924006,2,11,0,5,0,1
80,ˈmɝt,2.365736284889316,2,1,0,0,0,0
81,ʃənt,2.365736284889316,2,1,0,12,0,1
82,'s,2.365736284889316,1,14,0,-1,0,1
83,wɝk,2.5515239477503626,1,3,0,0,0,1
84,",",3.0093457943925235,1,-1,-1,-1,0,1
85,aɪ,2.412661195779602,1,11,0,7,0,1
86,sə,2.412661195779602,2,12,0,12,0,0
87,ˈspɛkt,2.412661195779602,2,1,0,8,0,1
88,",",3.0093457943925235,1,-1,-1,-1,0,1
89,wʊd,2.389221556886228,1,5,0,2,0,1
90,hæv,2.183310533515732,1,7,0,7,0,1
91,eɪ,1.773019271948608,1,11,0,10,0,1
92,hɑɹd,1.7072771872444807,1,5,0,5,0,1
93,taɪm,1.7072771872444807,1,3,0,7,0,1
94,ˈsɪ,1.9311087190527447,2,11,0,11,0,0
95,tɪŋ,1.9311087190527447,2,13,0,11,0,1
96,θɹu,1.9416590701914314,1,1,0,1,0,1
97,ðɪs,1.9242603550295858,1,14,0,11,0,1
98,wʌn,1.9525574499629357,1,2,0,4,0,1
99,.,5.444444444444445,1,-1,-1,-1,0,2
100,eɪ,3.9446723036768865,1,11,0,10,0,1
101,ˈpɒ,4.732369233056991,4,5,0,5,0,0
102,zɪ,4.732369233056991,4,11,0,11,0,0
103,tɪv,4.732369233056991,4,7,0,11,0,0
104,li,4.732369233056991,4,11,0,11,0,1
105,ˈθɹɪ,4.79253004409349,2,11,0,11,0,0
106,lɪŋ,4.79253004409349,2,13,0,11,0,1
107,ˌkɒm,3.893368684976512,4,3,0,5,0,0
108,bə,3.893368684976512,4,12,0,12,0,0
109,ˈneɪ,3.893368684976512,4,11,0,10,0,0
110,ʃən,3.893368684976512,4,10,0,12,0,1
111,ʌv,10.545620126358928,1,7,0,4,0,1
112,ɛθ,3.7232647059767756,4,1,0,8,0,0
113,ˈnɒ,3.7232647059767756,4,5,0,5,0,0
114,gɹə,3.7232647059767756,4,12,0,12,0,0
115,fi,3.7232647059767756,4,11,0,11,0,1
116,ænd,2.869213986823171,1,5,0,7,0,1
117,ɔl,4.193117762339858,1,11,0,4,0,1
118,ði,7.4471155709488865,1,11,0,11,0,1
119,ɪn,4.362851240082298,2,9,0,11,0,0
120,ˈtɹig,4.362851240082298,2,10,0,11,0,1
121,",",3.3180785219449915,1,-1,-1,-1,0,1
122,bɪ,3.3760611303729826,3,11,0,11,0,0
123,ˈtɹeɪ,3.3760611303729826,3,11,0,10,0,0
124,əl,3.3760611303729826,3,11,0,12,0,1
125,",",3.3180785219449915,1,-1,-1,-1,0,1
126,dɪ,2.4135484034818466,2,11,0,11,0,0
127,ˈsit,2.4135484034818466,2,1,0,11,0,1
128,ænd,2.869213986823171,1,5,0,7,0,1
129,ˈmɝ,2.4939939383921876,2,4,0,0,0,0
130,dɚ,2.4939939383921876,2,6,0,0,0,1
131,ʌv,10.545620126358928,1,7,0,4,0,1
132,eɪ,3.9446723036768865,1,11,0,10,0,1
133,ʃeɪk,3.113364580919962,4,3,0,10,0,0
134,ˈspɪə,3.113364580919962,4,12,0,11,0,0
135,ɹi,3.113364580919962,4,11,0,11,0,0
136,ən,3.113364580919962,4,10,0,12,0,1
137,ˈtɹæd,2.696334052146638,3,5,0,7,0,0
138,ʒɪ,2.696334052146638,3,11,0,11,0,0
139,di,2.696334052146638,3,11,0,11,0,1
140,ɔɹ,3.9194231241976456,1,5,0,4,0,1
141,eɪ,3.9446723036768865,1,11,0,10,0,1
142,ˈdʒu,4.416563464006665,2,1,0,1,0,0
143,si,4.416563464006665,2,11,0,11,0,1
144,soʊp,3.2871273012421804,1,4,0,2,0,1
145,ˈɒ,3.2871273012421804,3,5,0,5,0,0
146,pə,3.2871273012421804,3,12,0,12,0,0
147,ɹə,3.2871273012421804,3,12,0,12,0,1
148,.,78.0,1,-1,-1,-1,0,2
149,ə,2.426966292134831,3,12,0,12,0,0
150,ˈgɹɛ,2.426966292134831,3,8,0,8,0,0
151,sɪv,2.426966292134831,3,7,0,11,0,1
152,sɛlf,1.9917525773195877,1,8,0,8,0,1
153,-,1.9917525773195877,1,-1,-1,-1,0,1
154,ˌglɔ,1.9917525773195877,5,4,0,4,0,0
155,ɹə,1.9917525773195877,5,12,0,12,0,0
156,fɪ,1.9917525773195877,5,11,0,11,0,0
157,ˈkeɪ,1.9917525773195877,5,11,0,10,0,0
158,ʃən,1.9917525773195877,5,10,0,12,0,1
159,ænd,1.9873817034700316,1,5,0,7,0,1
160,eɪ,1.8718662952646241,1,11,0,10,0,1
161,mə,1.7327354260089687,5,12,0,12,0,0
162,ˈnɪ,1.7327354260089687,5,11,0,11,0,0
163,pyə,1.7327354260089687,5,12,0,12,0,0
164,ˌleɪ,1.7327354260089687,5,11,0,10,0,0
165,tɪv,1.7327354260089687,5,7,0,11,0,1
166,ˈʍaɪt,1.7327354260089687,2,1,0,7,0,0
167,ˌwɒʃ,1.7327354260089687,2,4,0,5,0,1
168,.,9.0,1,-1,-1,-1,0,2
